# ========================================
# PLANTILLA DE IMPORTACIÓN DE PRODUCTOS
# ========================================
# 
# INSTRUCCIONES:
# 1. Completa los datos de tus productos en las filas de abajo
# 2. NO modifiques los títulos (celdas bloqueadas)
# 3. Usa números sin comillas para precios y stock
# 4. Usa comillas solo para textos con espacios
# 5. Guarda el archivo como CSV antes de importar
#
# ========================================

# TÍTULOS (NO MODIFICAR)
# Campos requeridos: Código, Nombre, Tipo, Precio de Compra, Precio de Venta, Stock
# Campos opcionales: Permitir agregar toppings/adicionales (si/no, true/false, 1/0), Umbral de stock bajo (número)
# Los nombres son EXACTAMENTE como aparecen en el modal de "Agregar Producto"
Código,Nombre,Tipo,Precio de Compra,Precio de Venta,Stock,Umbral de stock bajo,Permitir agregar toppings/adicionales,Imagen,Categoría,Descripción,Peso,Unidad de Peso,Dimensiones (L x A x H),Marca,Modelo,Color,Talla,Material,Fecha de Vencimiento,Duración del Servicio,Ingredientes,Alérgenos,Calorías,Porción,Variante Nombre,Variante Código,Variante Stock

# ========================================
# EJEMPLOS DE PRODUCTOS (BORRA ESTAS FILAS)
# ========================================

"SKU-001","Camisa Polo Azul","fisico",25000,45000,10,5,"no","","Ropa","Camisa de algodón 100% color azul marino talla M","0.3","kg","40x30x5 cm","MarcaX","Modelo-Polo","Azul","M","Algodón","","","","","","","","",""
"SKU-002","Zapatos Deportivos Nike","fisico",80000,150000,5,3,"no","","Calzado","Zapatos deportivos para running talla 42","0.8","kg","","Nike","AirRun","Negro","42","Sintético","","","","","","","","",""
"SKU-003","Base Maquillaje","fisico",30000,60000,"",8,"no","","Cosmética","Base líquida para rostro","0.05","kg","","MarcaY","BasePro","Tono 01","","","","","","","","","Tono 01","SKU-003-T01",12
"SKU-003","Base Maquillaje","fisico",30000,60000,"",8,"no","","Cosmética","Base líquida para rostro","0.05","kg","","MarcaY","BasePro","Tono 02","","","","","","","","","Tono 02","SKU-003-T02",8
"SKU-004","Servicio Manicure","servicio","",50000,"","","no","","Servicios","Servicio de manicure","","","","","","","","","","1 hora","","","","","","",""

# ========================================
# TUS PRODUCTOS (AGREGA AQUÍ TUS DATOS)
# ========================================

"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
