# ========================================
# PLANTILLA DE IMPORTACION DE PRODUCTOS - JOYERIA
# ========================================
# 
# INSTRUCCIONES:
# 1. Completa los datos de tus productos en las filas de abajo
# 2. NO modifiques los títulos (celdas bloqueadas)
# 3. Usa números sin comillas para precios, peso y stock
# 4. Usa comillas solo para textos con espacios
# 5. Guarda el archivo como CSV antes de importar
#
# ========================================

# TÍTULOS (NO MODIFICAR)
# Campos requeridos (joyería): Código, Nombre, Tipo, Peso, Precio de Compra, Stock
# Precio de Venta es opcional si Tipo de precio = variable
# Los nombres son EXACTAMENTE como aparecen en el modal de "Agregar Producto"
Código,Nombre,Tipo,Peso,Unidad de Peso,Pureza,Precio de Compra,Tipo de precio,Precio de Venta,Tipo de material,Margen mínimo (%),Cómo definir el precio estático,Porcentaje sobre compra (%),Stock,Umbral de stock bajo,Permitir agregar toppings/adicionales,Imagen,Categoría,Descripción,Material,Talla,Color,Marca,Modelo,Fecha de Vencimiento,Variante Nombre,Variante Código,Variante Stock

# ========================================
# EJEMPLOS DE PRODUCTOS (BORRA ESTAS FILAS)
# ========================================

"JOY-001","Anillo Oro 18k","accesorio",4.5,"g","18k",180000,"fixed",320000,"international",15000,"fixed","",3,1,"no","","Anillos","Anillo clasico de oro","Oro","6","Dorado","JoyaPlus","Clasico","","","",""
"JOY-002","Cadena Oro 24k","accesorio",12.3,"g","24k",220000,"variable","","international",12000,"","",2,1,"no","","Cadenas","Cadena con precio por peso","Oro","","Dorado","JoyaPlus","Premium","","","",""
"JOY-003","Pulsera Plata 925","accesorio",8.2,"g","925",60000,"fixed",120000,"local",8000,"percent","25",5,1,"no","","Pulseras","Pulsera plata con margen porcentual","Plata","","Plateado","JoyaPlus","Argolla","","","",""

# ========================================
# TUS PRODUCTOS (AGREGA AQUÍ TUS DATOS)
# ========================================

"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
